#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 02 05 09 00  MM  8.0 10.0    MM    MM    MM  MM 1010.7    MM   5.9    MM   MM -0.6    MM
2024 02 05 08 50  MM  8.0 10.0    MM    MM    MM  MM 1010.9    MM   5.9    MM   MM   MM    MM
2024 02 05 08 40  MM  9.0 11.0    MM    MM    MM  MM 1010.9    MM   5.9    MM   MM   MM    MM
2024 02 05 08 30  MM  8.0 10.0    MM    MM    MM  MM 1010.9    MM   5.9    MM   MM   MM    MM
2024 02 05 08 20  MM  8.0 11.0   1.0    11   4.6 106 1011.0    MM   5.9    MM   MM   MM    MM
2024 02 05 08 10  MM  9.0 10.0   1.0    MM   4.6 106 1011.0    MM   5.9    MM   MM   MM    MM
2024 02 05 08 00  MM  9.0 11.0    MM    MM    MM  MM 1010.9    MM   5.9    MM   MM -1.0    MM
2024 02 05 07 50  MM  8.0 10.0   1.0    11   4.5 107 1010.8    MM   5.9    MM   MM   MM    MM
2024 02 05 07 40  MM  8.0 10.0    MM    MM    MM  MM 1010.8    MM   5.9    MM   MM   MM    MM
2024 02 05 07 30  MM  8.0 10.0    MM    MM    MM  MM 1011.0    MM   5.9    MM   MM   MM    MM
2024 02 05 07 20  MM  9.0 10.0   1.0    11   4.6 109 1011.1    MM   5.9    MM   MM   MM    MM
2024 02 05 07 10  MM  8.0 10.0   1.0    MM   4.6 109 1011.1    MM   5.9    MM   MM   MM    MM
2024 02 05 07 00  MM  9.0 10.0    MM    MM    MM  MM 1011.0    MM   5.9    MM   MM -1.1    MM
2024 02 05 06 50  MM  9.0 10.0   1.0    11   4.7 109 1011.1    MM   5.9    MM   MM   MM    MM
2024 02 05 06 40  MM  8.0 10.0    MM    MM    MM  MM 1011.0    MM   5.9    MM   MM   MM    MM
2024 02 05 06 30  MM  8.0 10.0    MM    MM    MM  MM 1011.2    MM   5.9    MM   MM   MM    MM
2024 02 05 06 20  MM  8.0 10.0   1.1    11   5.1 106 1011.3    MM   5.9    MM   MM   MM    MM
2024 02 05 06 10  MM  7.0  9.0   1.1    MM   5.1 106 1011.2    MM   5.9    MM   MM   MM    MM
2024 02 05 06 00  MM  7.0  9.0    MM    MM    MM  MM 1011.3    MM   5.9    MM   MM -1.0    MM
2024 02 05 05 50  MM  7.0  8.0   1.0    11   5.1 103 1011.5    MM   5.9    MM   MM   MM    MM
2024 02 05 05 40  MM  7.0  8.0    MM    MM    MM  MM 1011.7    MM   5.9    MM   MM   MM    MM
2024 02 05 05 30  MM  6.0  7.0    MM    MM    MM  MM 1011.7    MM   5.9    MM   MM   MM    MM
2024 02 05 05 20  MM  6.0  8.0   1.0    11   5.8 106 1011.9    MM   5.9    MM   MM   MM    MM
2024 02 05 05 10  MM  6.0  8.0    MM    MM    MM  MM 1011.9    MM   5.9    MM   MM   MM    MM
2024 02 05 05 00  MM  7.0  8.0    MM    MM    MM  MM 1011.9    MM   5.9    MM   MM -0.4    MM
2024 02 05 04 50  MM  7.0  8.0   0.9    11   5.5 107 1011.9    MM   5.9    MM   MM   MM    MM
2024 02 05 04 40  MM  6.0  8.0    MM    MM    MM  MM 1011.9    MM   5.9    MM   MM   MM    MM
2024 02 05 04 30  MM  6.0  7.0    MM    MM    MM  MM 1011.9    MM   5.9    MM   MM   MM    MM
2024 02 05 04 20  MM  6.0  7.0   0.9    11   5.8 104 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 04 10  MM  6.0  8.0   0.9    MM   5.8 104 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 04 00  MM  6.0  8.0    MM    MM    MM  MM 1012.1    MM   6.0    MM   MM +0.0    MM
2024 02 05 03 50  MM  7.0  8.0   0.9    11   5.8 112 1012.1    MM   6.0    MM   MM   MM    MM
2024 02 05 03 40  MM  7.0  8.0    MM    MM    MM  MM 1012.2    MM   6.0    MM   MM   MM    MM
2024 02 05 03 30  MM  6.0  7.0    MM    MM    MM  MM 1012.2    MM   6.0    MM   MM   MM    MM
2024 02 05 03 20  MM  6.0  8.0   0.9    11   5.6  99 1012.3    MM   6.0    MM   MM   MM    MM
2024 02 05 03 10  MM  6.0  8.0   0.9    MM   5.6  99 1012.4    MM   6.0    MM   MM   MM    MM
2024 02 05 03 00  MM  6.0  7.0    MM    MM    MM  MM 1012.3    MM   6.0    MM   MM +0.3    MM
2024 02 05 02 50  MM  6.0  7.0   0.8    11   6.4 108 1012.4    MM   6.0    MM   MM   MM    MM
2024 02 05 02 40  MM  5.0  7.0   0.8    MM   6.4 108 1012.4    MM   6.0    MM   MM   MM    MM
2024 02 05 02 30  MM  5.0  6.0    MM    MM    MM  MM 1012.3    MM   6.0    MM   MM   MM    MM
2024 02 05 02 20  MM  5.0  6.0   0.9    11   6.4 105 1012.2    MM   6.0    MM   MM   MM    MM
2024 02 05 02 10  MM  5.0  6.0   0.9    MM   6.4 105 1012.2    MM   6.0    MM   MM   MM    MM
2024 02 05 02 00  MM  5.0  6.0    MM    MM    MM  MM 1012.3    MM   6.0    MM   MM +0.4    MM
2024 02 05 01 50  MM  5.0  6.0   0.9    11   6.5 103 1012.3    MM   6.0    MM   MM   MM    MM
2024 02 05 01 40  MM  5.0  6.0   0.9    MM   6.5 103 1012.3    MM   6.0    MM   MM   MM    MM
2024 02 05 01 30  MM  5.0  6.0    MM    MM    MM  MM 1012.2    MM   6.0    MM   MM   MM    MM
2024 02 05 01 20  MM  5.0  6.0   0.9    10   6.7 111 1012.1    MM   6.0    MM   MM   MM    MM
2024 02 05 01 10  MM  5.0  7.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 01 00  MM  5.0  6.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM +0.0    MM
2024 02 05 00 50  MM  5.0  6.0   0.9    10   6.8 113 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 00 40  MM  4.0  5.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 00 30  MM  5.0  5.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 00 20  MM  4.0  5.0   0.9    11   6.6 106 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 00 10  MM  4.0  5.0   0.9    MM   6.6 106 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 00 00  MM  4.0  5.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM +0.0    MM
2024 02 04 23 50  MM  4.0  5.0   1.0    11   6.5 116 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 04 23 40  MM  4.0  5.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 04 23 10  MM  5.0  6.0   0.9    MM   6.1 121 1011.9    MM   6.0    MM   MM   MM    MM
2024 02 04 23 00  MM  5.0  6.0    MM    MM    MM  MM 1011.9    MM   6.0    MM   MM -0.4    MM
2024 02 04 22 50  MM  5.0  6.0   1.0    11   6.2 110 1011.8    MM   6.0    MM   MM   MM    MM
2024 02 04 22 40  MM  4.0  5.0    MM    MM    MM  MM 1011.9    MM   6.0    MM   MM   MM    MM
2024 02 04 22 30  MM  4.0  5.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 04 22 20  MM  4.0  5.0   1.1    11   6.1 113 1011.9    MM   6.0    MM   MM   MM    MM
2024 02 04 22 10  MM  4.0  5.0   1.1    MM   6.1 113 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 04 22 00  MM  4.0  5.0    MM    MM    MM  MM 1012.1    MM   6.0    MM   MM -0.7    MM
2024 02 04 21 50  MM  4.0  5.0   1.1    11   6.2 101 1012.1    MM   6.0    MM   MM   MM    MM
2024 02 04 21 40  MM  5.0  6.0    MM    MM    MM  MM 1012.1    MM   6.0    MM   MM   MM    MM
2024 02 04 21 30  MM  5.0  7.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 04 21 20  MM  5.0  6.0   1.1    11   5.9 106 1012.0    MM   6.1    MM   MM   MM    MM
2024 02 04 21 10  MM  4.0  5.0   1.1    MM   5.9 106 1012.1    MM   6.1    MM   MM   MM    MM
2024 02 04 21 00  MM  5.0  6.0    MM    MM    MM  MM 1012.1    MM   6.1    MM   MM -1.8    MM
2024 02 04 20 50  MM  5.0  7.0   1.1    11   5.3 103 1012.1    MM   6.1    MM   MM   MM    MM
2024 02 04 20 40  MM  6.0  7.0    MM    MM    MM  MM 1012.1    MM   6.1    MM   MM   MM    MM
2024 02 04 20 30  MM  6.0  7.0    MM    MM    MM  MM 1012.3    MM   6.1    MM   MM   MM    MM
2024 02 04 20 20  MM  6.0  8.0   1.1    11   5.2 110 1012.2    MM   6.1    MM   MM   MM    MM
2024 02 04 20 10  MM  6.0  8.0   1.1    MM   5.2 110 1012.3    MM   6.1    MM   MM   MM    MM
2024 02 04 20 00  MM  6.0  8.0    MM    MM    MM  MM 1012.3    MM   6.1    MM   MM -2.2    MM
2024 02 04 19 50  MM  6.0  8.0   1.2    11   5.3 104 1012.3    MM   6.1    MM   MM   MM    MM
2024 02 04 19 40  MM  6.0  8.0    MM    MM    MM  MM 1012.3    MM    MM    MM   MM   MM    MM
2024 02 04 19 30  MM  6.0  8.0    MM    MM    MM  MM 1012.3    MM   6.1    MM   MM   MM    MM
2024 02 04 19 20  MM  7.0  9.0   1.1    11   5.1 113 1012.4    MM   6.1    MM   MM   MM    MM
2024 02 04 19 10  MM  7.0  8.0   1.1    MM   5.1 113 1012.6    MM   6.1    MM   MM   MM    MM
2024 02 04 19 00  MM  7.0  8.0    MM    MM    MM  MM 1012.8    MM   6.0    MM   MM -2.7    MM
2024 02 04 18 50  MM  6.0  8.0   1.1    11   5.1 107 1012.9    MM   6.0    MM   MM   MM    MM
2024 02 04 18 40  MM  6.0  8.0   1.1    MM   5.1 107 1013.1    MM   6.0    MM   MM   MM    MM
2024 02 04 18 30  MM  6.0  7.0    MM    MM    MM  MM 1013.4    MM   6.0    MM   MM   MM    MM
2024 02 04 18 20  MM  6.0  8.0   1.2    11   5.1 101 1013.6    MM   6.0    MM   MM   MM    MM
2024 02 04 18 10  MM  7.0  9.0    MM    MM    MM  MM 1013.7    MM   6.0    MM   MM   MM    MM
2024 02 04 18 00  MM  7.0  8.0    MM    MM    MM  MM 1013.9    MM   6.0    MM   MM -2.2    MM
2024 02 04 17 50  MM  6.0  8.0   1.1    11   5.1 123 1014.0    MM   6.0    MM   MM   MM    MM
2024 02 04 17 40  MM  6.0  8.0    MM    MM    MM  MM 1014.1    MM   6.0    MM   MM   MM    MM
2024 02 04 17 30  MM  6.0  8.0    MM    MM    MM  MM 1014.2    MM   6.0    MM   MM   MM    MM
2024 02 04 17 20  MM  5.0  7.0   1.1    10   4.8 114 1014.3    MM   6.0    MM   MM   MM    MM
2024 02 04 17 10  MM  6.0  8.0   1.1    MM   4.8 114 1014.4    MM   6.0    MM   MM   MM    MM
2024 02 04 17 00  MM  6.0  8.0    MM    MM    MM  MM 1014.5    MM   6.0    MM   MM -1.7    MM
2024 02 04 16 50  MM  7.0  9.0    MM    MM    MM  MM 1014.7    MM   6.0    MM   MM   MM    MM
2024 02 04 16 40  MM  7.0  8.0    MM    MM    MM  MM 1014.9    MM   6.0    MM   MM   MM    MM
2024 02 04 16 30  MM  6.0  8.0    MM    MM    MM  MM 1015.1    MM   6.0    MM   MM   MM    MM
2024 02 04 16 20  MM  6.0  7.0   1.1    10   4.7  99 1015.3    MM   5.9    MM   MM   MM    MM
2024 02 04 16 10  MM  6.0  7.0   1.1    MM   4.7  99 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 16 00  MM  6.0  8.0    MM    MM    MM  MM 1015.5    MM   5.9    MM   MM -0.6    MM
2024 02 04 15 50  MM  6.0  9.0   1.0    10   4.5 111 1015.6    MM   5.9    MM   MM   MM    MM
2024 02 04 15 40  MM  6.0  8.0    MM    MM    MM  MM 1015.9    MM   5.9    MM   MM   MM    MM
2024 02 04 15 30  MM  6.0  8.0    MM    MM    MM  MM 1016.0    MM   5.9    MM   MM   MM    MM
2024 02 04 15 20  MM  6.0  8.0   1.1    11   4.6  92 1016.0    MM   5.9    MM   MM   MM    MM
2024 02 04 15 10  MM  6.0  8.0   1.1    MM   4.6  92 1016.0    MM   5.9    MM   MM   MM    MM
2024 02 04 15 00  MM  6.0  7.0    MM    MM    MM  MM 1016.1    MM   5.9    MM   MM +0.5    MM
2024 02 04 14 50  MM  7.0  8.0   1.1    10   4.3 110 1016.1    MM   5.9    MM   MM   MM    MM
2024 02 04 14 40  MM  7.0  9.0    MM    MM    MM  MM 1016.1    MM   5.9    MM   MM   MM    MM
2024 02 04 14 30  MM  7.0  9.0    MM    MM    MM  MM 1016.2    MM   5.9    MM   MM   MM    MM
2024 02 04 14 20  MM  7.0  9.0   1.2    10   4.4 121 1016.3    MM   5.9    MM   MM   MM    MM
2024 02 04 14 10  MM  7.0  9.0   1.2    MM   4.4 121 1016.4    MM   5.9    MM   MM   MM    MM
2024 02 04 14 00  MM  8.0 10.0    MM    MM    MM  MM 1016.2    MM   5.9    MM   MM +0.6    MM
2024 02 04 13 50  MM  9.0 11.0   1.2    10   4.2 104 1016.1    MM   5.9    MM   MM   MM    MM
2024 02 04 13 40  MM  9.0 12.0    MM    MM    MM  MM 1016.1    MM   5.9    MM   MM   MM    MM
2024 02 04 13 30  MM  9.0 11.0    MM    MM    MM  MM 1016.1    MM   5.9    MM   MM   MM    MM
2024 02 04 13 20  MM  9.0 11.0   1.1     4   4.0  10 1016.2    MM   5.9    MM   MM   MM    MM
2024 02 04 13 10  MM  9.0 11.0   1.1    MM   4.0  10 1016.1    MM   5.9    MM   MM   MM    MM
2024 02 04 13 00  MM  9.0 11.0    MM    MM    MM  MM 1016.1    MM   5.9    MM   MM +0.7    MM
2024 02 04 12 50  MM 10.0 12.0   1.1    10   4.1 114 1016.0    MM   5.9    MM   MM   MM    MM
2024 02 04 12 40  MM 10.0 12.0    MM    MM    MM  MM 1016.0    MM   5.9    MM   MM   MM    MM
2024 02 04 12 30  MM 10.0 12.0    MM    MM    MM  MM 1015.8    MM   5.9    MM   MM   MM    MM
2024 02 04 12 20  MM 10.0 12.0   1.1    10   4.2 111 1015.7    MM   5.9    MM   MM   MM    MM
2024 02 04 12 10  MM 10.0 12.0   1.1    MM   4.2 111 1015.6    MM   5.9    MM   MM   MM    MM
2024 02 04 12 00  MM  9.0 12.0    MM    MM    MM  MM 1015.6    MM   5.9    MM   MM +0.0    MM
2024 02 04 11 50  MM 10.0 12.0   1.0    10   4.1 122 1015.5    MM   5.9    MM   MM   MM    MM
2024 02 04 11 40  MM  9.0 12.0    MM    MM    MM  MM 1015.6    MM   5.9    MM   MM   MM    MM
2024 02 04 11 30  MM  9.0 12.0    MM    MM    MM  MM 1015.6    MM   5.9    MM   MM   MM    MM
2024 02 04 11 20  MM  9.0 11.0   1.1    10   4.2 103 1015.6    MM   5.9    MM   MM   MM    MM
2024 02 04 11 10  MM  9.0 11.0   1.1    MM   4.2 103 1015.6    MM   5.9    MM   MM   MM    MM
2024 02 04 11 00  MM  9.0 11.0    MM    MM    MM  MM 1015.6    MM   5.9    MM   MM +0.0    MM
2024 02 04 10 50  MM  8.0 11.0   1.0     9   4.1 112 1015.5    MM   5.9    MM   MM   MM    MM
2024 02 04 10 40  MM  9.0 11.0    MM    MM    MM  MM 1015.5    MM   5.9    MM   MM   MM    MM
2024 02 04 10 30  MM  9.0 12.0    MM    MM    MM  MM 1015.5    MM   5.9    MM   MM   MM    MM
2024 02 04 10 20  MM  9.0 11.0   1.0    10   4.3 111 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 10 10  MM  8.0 10.0   1.0    MM   4.3 111 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 10 00  MM  9.0 11.0    MM    MM    MM  MM 1015.4    MM   5.9    MM   MM +0.0    MM
2024 02 04 09 50  MM  8.0 11.0   1.0    10   4.1 119 1015.5    MM   5.9    MM   MM   MM    MM
2024 02 04 09 40  MM  9.0 11.0    MM    MM    MM  MM 1015.5    MM   5.9    MM   MM   MM    MM
2024 02 04 09 30  MM  9.0 11.0    MM    MM    MM  MM 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 09 20  MM  9.0 11.0   1.0     9   4.2  91 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 09 10  MM  9.0 11.0   1.0    MM   4.2  91 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 09 00  MM  9.0 11.0    MM    MM    MM  MM 1015.5    MM   5.9    MM   MM +0.0    MM
2024 02 04 08 50  MM  9.0 11.0   1.0     9   4.3 103 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 08 40  MM  9.0 11.0    MM    MM    MM  MM 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 08 30  MM  9.0 11.0    MM    MM    MM  MM 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 08 20  MM  9.0 12.0   1.0     8   4.4 104 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 08 10  MM  8.0 11.0   1.0    MM   4.4 104 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 08 00  MM  8.0 10.0    MM    MM    MM  MM 1015.4    MM   5.9    MM   MM -0.6    MM
2024 02 04 07 50  MM  8.0 10.0   0.9     8   4.1 110 1015.3    MM   5.9    MM   MM   MM    MM
2024 02 04 07 40  MM  8.0 10.0    MM    MM    MM  MM 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 07 30  MM  8.0 10.0    MM    MM    MM  MM 1015.3    MM   5.9    MM   MM   MM    MM
2024 02 04 07 20  MM  8.0 11.0   1.0     9   4.5 102 1015.4    MM   5.9    MM   MM   MM    MM
2024 02 04 07 10  MM  8.0 10.0   1.0    MM   4.5 102 1015.5    MM   5.9    MM   MM   MM    MM
