#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 02 05 22 40  MM  9.0 10.0    MM    MM    MM  MM 1012.9    MM   5.9    MM   MM   MM    MM
2024 02 05 22 30  MM  9.0 11.0    MM    MM    MM  MM 1012.9    MM   5.9    MM   MM   MM    MM
2024 02 05 22 20  MM  9.0 10.0   1.1    11   5.1 106 1012.6    MM   5.9    MM   MM   MM    MM
2024 02 05 22 10  MM  9.0 12.0   1.1    MM   5.1 106 1012.4    MM   5.9    MM   MM   MM    MM
2024 02 05 22 00  MM  9.0 11.0    MM    MM    MM  MM 1012.3    MM   5.9    MM   MM +0.4    MM
2024 02 05 21 50  MM  7.0 10.0   1.1    11   5.6 105 1012.2    MM   5.9    MM   MM   MM    MM
2024 02 05 21 40  MM  6.0  8.0    MM    MM    MM  MM 1012.1    MM   6.0    MM   MM   MM    MM
2024 02 05 21 30  MM  6.0  8.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 21 20  MM  6.0  7.0   1.0    11   5.8 108 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 21 10  MM  6.0  7.0   1.0    MM   5.8 108 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 21 00  MM  6.0  7.0    MM    MM    MM  MM 1011.9    MM   6.0    MM   MM -0.3    MM
2024 02 05 20 50  MM  5.0  7.0   1.1    11   6.1 103 1011.8    MM   6.0    MM   MM   MM    MM
2024 02 05 20 40  MM  6.0  7.0    MM    MM    MM  MM 1011.9    MM   6.0    MM   MM   MM    MM
2024 02 05 20 30  MM  6.0  7.0    MM    MM    MM  MM 1011.8    MM   6.0    MM   MM   MM    MM
2024 02 05 20 20  MM  5.0  6.0   1.1    11   5.9 106 1011.8    MM   6.0    MM   MM   MM    MM
2024 02 05 20 10  MM  5.0  7.0    MM    MM    MM  MM 1011.7    MM   6.0    MM   MM   MM    MM
2024 02 05 20 00  MM  5.0  6.0    MM    MM    MM  MM 1011.6    MM   6.0    MM   MM -1.1    MM
2024 02 05 19 50  MM  5.0  6.0   1.0    11   5.3 102 1011.8    MM   6.0    MM   MM   MM    MM
2024 02 05 19 40  MM  5.0  7.0    MM    MM    MM  MM 1011.7    MM   6.0    MM   MM   MM    MM
2024 02 05 19 30  MM  5.0  6.0    MM    MM    MM  MM 1011.8    MM   6.0    MM   MM   MM    MM
2024 02 05 19 20  MM  5.0  6.0   1.1    11   5.7 100 1011.8    MM   6.0    MM   MM   MM    MM
2024 02 05 19 10  MM  4.0  5.0   1.1    MM   5.7 100 1011.9    MM   6.0    MM   MM   MM    MM
2024 02 05 19 00  MM  4.0  6.0    MM    MM    MM  MM 1011.9    MM   6.0    MM   MM -1.1    MM
2024 02 05 18 50  MM  4.0  6.0   1.1    11   5.7 102 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 18 40  MM  4.0  6.0    MM    MM    MM  MM 1012.0    MM   6.0    MM   MM   MM    MM
2024 02 05 18 30  MM  4.0  6.0    MM    MM    MM  MM 1012.1    MM   6.0    MM   MM   MM    MM
2024 02 05 18 20  MM  4.0  5.0   0.9    11   5.0 100 1012.1    MM   6.0    MM   MM   MM    MM
2024 02 05 18 10  MM  4.0  5.0    MM    MM    MM  MM 1012.2    MM   6.0    MM   MM   MM    MM
2024 02 05 18 00  MM  4.0  6.0    MM    MM    MM  MM 1012.2    MM   5.9    MM   MM -0.8    MM
2024 02 05 17 50  MM  4.0  5.0   0.9    11   4.7 101 1012.2    MM   5.9    MM   MM   MM    MM
2024 02 05 17 40  MM  4.0  5.0    MM    MM    MM  MM 1012.4    MM   5.9    MM   MM   MM    MM
2024 02 05 17 30  MM  4.0  5.0    MM    MM    MM  MM 1012.5    MM   5.9    MM   MM   MM    MM
2024 02 05 17 20  MM  5.0  6.0   1.0    11   4.8 103 1012.4    MM   5.9    MM   MM   MM    MM
2024 02 05 17 10  MM  4.0  6.0   1.0    MM   4.8 103 1012.6    MM   5.9    MM   MM   MM    MM
2024 02 05 17 00  MM  5.0  6.0    MM    MM    MM  MM 1012.7    MM   5.9    MM   MM +0.0    MM
2024 02 05 16 50  MM  5.0  7.0   1.0    11   4.8 106 1012.7    MM   5.9    MM   MM   MM    MM
2024 02 05 16 40  MM  5.0  7.0    MM    MM    MM  MM 1012.8    MM   5.9    MM   MM   MM    MM
2024 02 05 16 30  MM  6.0  7.0    MM    MM    MM  MM 1012.9    MM    MM    MM   MM   MM    MM
2024 02 05 16 20  MM  6.0  8.0   1.0    11   4.6 104 1013.0    MM   5.9    MM   MM   MM    MM
2024 02 05 16 10  MM  6.0  8.0   1.0    MM   4.6 104 1012.9    MM   5.9    MM   MM   MM    MM
2024 02 05 16 00  MM  6.0  7.0    MM    MM    MM  MM 1013.0    MM   5.9    MM   MM +0.4    MM
2024 02 05 15 50  MM  5.0  7.0   1.1    11   4.4 127 1013.1    MM   5.9    MM   MM   MM    MM
2024 02 05 15 40  MM  6.0  8.0    MM    MM    MM  MM 1013.2    MM   5.9    MM   MM   MM    MM
2024 02 05 15 30  MM  7.0  9.0    MM    MM    MM  MM 1013.1    MM    MM    MM   MM   MM    MM
2024 02 05 15 20  MM  7.0  9.0   1.1    11   4.4 101 1013.0    MM   5.9    MM   MM   MM    MM
2024 02 05 15 10  MM  7.0 10.0   1.1    MM   4.4 101 1013.1    MM   5.9    MM   MM   MM    MM
2024 02 05 15 00  MM  8.0  9.0    MM    MM    MM  MM 1013.0    MM   5.9    MM   MM +1.0    MM
2024 02 05 14 50  MM  8.0 10.0   1.1    10   4.2 114 1012.9    MM   5.9    MM   MM   MM    MM
2024 02 05 14 40  MM  9.0 10.0    MM    MM    MM  MM 1012.9    MM   5.8    MM   MM   MM    MM
2024 02 05 14 30  MM  9.0 10.0    MM    MM    MM  MM 1012.9    MM   5.9    MM   MM   MM    MM
2024 02 05 14 20  MM  9.0 11.0   1.0    11   4.0  89 1012.8    MM   5.8    MM   MM   MM    MM
2024 02 05 14 10  MM  9.0 11.0   1.0    MM   4.0  89 1012.7    MM   5.8    MM   MM   MM    MM
2024 02 05 14 00  MM  9.0 11.0    MM    MM    MM  MM 1012.8    MM   5.8    MM   MM +1.2    MM
2024 02 05 13 50  MM  8.0 11.0   0.9    11   4.2 117 1012.8    MM   5.9    MM   MM   MM    MM
2024 02 05 13 40  MM  8.0 11.0    MM    MM    MM  MM 1012.7    MM   5.9    MM   MM   MM    MM
2024 02 05 13 30  MM  8.0 10.0    MM    MM    MM  MM 1012.7    MM   5.8    MM   MM   MM    MM
2024 02 05 13 10  MM   MM   MM   1.0    11   4.2 111     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 13 00  MM  8.0  9.0    MM    MM    MM  MM 1012.6    MM   5.8    MM   MM +1.8    MM
2024 02 05 12 50  MM  8.0 10.0   0.9    11   4.2 110 1012.5    MM   5.8    MM   MM   MM    MM
2024 02 05 12 40  MM  8.0 10.0    MM    MM    MM  MM 1012.5    MM   5.8    MM   MM   MM    MM
2024 02 05 12 30  MM  8.0 10.0    MM    MM    MM  MM 1012.3    MM   5.9    MM   MM   MM    MM
2024 02 05 12 20  MM  8.0 10.0   0.9    11   4.2 106 1012.2    MM   5.8    MM   MM   MM    MM
2024 02 05 12 10  MM  8.0 10.0   0.9    MM   4.2 106 1012.1    MM   5.9    MM   MM   MM    MM
2024 02 05 12 00  MM  8.0 10.0    MM    MM    MM  MM 1012.0    MM   5.9    MM   MM +1.3    MM
2024 02 05 11 50  MM  8.0 10.0   0.9    11   4.1 101 1011.9    MM   5.8    MM   MM   MM    MM
2024 02 05 11 40  MM  8.0 11.0    MM    MM    MM  MM 1011.8    MM   5.9    MM   MM   MM    MM
2024 02 05 11 30  MM  8.0 11.0    MM    MM    MM  MM 1011.8    MM   5.9    MM   MM   MM    MM
2024 02 05 11 20  MM  8.0 10.0   0.9    11   4.1  96 1011.7    MM   5.9    MM   MM   MM    MM
2024 02 05 11 10  MM  8.0  9.0   0.9    MM   4.1  96 1011.6    MM   5.9    MM   MM   MM    MM
2024 02 05 11 00  MM  7.0  9.0    MM    MM    MM  MM 1011.6    MM   5.9    MM   MM +0.7    MM
2024 02 05 10 50  MM  8.0  9.0   1.0    11   4.4 110 1011.5    MM   5.8    MM   MM   MM    MM
2024 02 05 10 40  MM  8.0  9.0   1.0    MM   4.4 110 1011.4    MM   5.8    MM   MM   MM    MM
2024 02 05 10 30  MM  8.0 10.0    MM    MM    MM  MM 1011.2    MM   5.9    MM   MM   MM    MM
2024 02 05 10 20  MM  9.0 11.0   0.9    11   4.1 102 1010.9    MM   5.9    MM   MM   MM    MM
2024 02 05 10 10  MM  9.0 11.0    MM    MM    MM  MM 1010.9    MM   5.9    MM   MM   MM    MM
2024 02 05 10 00  MM  9.0 11.0    MM    MM    MM  MM 1010.8    MM   5.9    MM   MM +0.0    MM
2024 02 05 09 50  MM  9.0 12.0   1.0    11   4.3 104 1010.6    MM   5.9    MM   MM   MM    MM
2024 02 05 09 40  MM  9.0 11.0    MM    MM    MM  MM 1010.8    MM   5.9    MM   MM   MM    MM
2024 02 05 09 30  MM  9.0 11.0    MM    MM    MM  MM 1010.9    MM   5.9    MM   MM   MM    MM
2024 02 05 09 20  MM  9.0 11.0   1.1    11   4.5 108 1010.9    MM   5.9    MM   MM   MM    MM
2024 02 05 09 10  MM  9.0 10.0   1.1    MM   4.5 108 1010.8    MM   5.9    MM   MM   MM    MM
