#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 02 07 18 26  MM   MM   MM   1.4     7   4.5 104     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 17 56  MM   MM   MM   1.4     4   4.5  46     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 17 26  MM   MM   MM   1.4     4   4.6  35     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 16 56  MM   MM   MM   1.4     4   4.4  30     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 16 26  MM   MM   MM   1.3     4   4.4  38     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 15 56  MM   MM   MM   1.3     4   4.4  28     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 15 26  MM   MM   MM   1.3     4   4.5  28     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 14 56  MM   MM   MM   1.3     4   4.5  27     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 14 26  MM   MM   MM   1.3     5   4.4  80     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 13 56  MM   MM   MM   1.3     9   4.5 106     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 13 26  MM   MM   MM   1.3     9   4.7 106     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 12 56  MM   MM   MM   1.2     9   4.6 106     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 12 26  MM   MM   MM   1.2    10   4.6 108     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 11 56  MM   MM   MM   1.2     6   4.6  96     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 11 26  MM   MM   MM   1.3     5   4.4  75     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 10 56  MM   MM   MM   1.3     4   4.4  31     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 10 26  MM   MM   MM   1.3     5   4.5  76     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 09 56  MM   MM   MM   1.3     5   4.5  82     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 09 26  MM   MM   MM   1.3     6   4.5  90     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 08 56  MM   MM   MM   1.3     9   4.6 107     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 08 26  MM   MM   MM   1.4     6   4.5  94     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 07 56  MM   MM   MM   1.4    10   4.7 111     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 07 26  MM   MM   MM   1.4     5   4.6  54     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 06 56  MM   MM   MM   1.4     4   4.4  46     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 06 26  MM   MM   MM   1.3     4   4.5  28     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 05 56  MM   MM   MM   1.4     4   4.5  37     MM    MM   5.7    MM   MM   MM    MM
2024 02 07 05 26  MM   MM   MM   1.4     5   4.4  51     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 04 56  MM   MM   MM   1.4     4   4.4  44     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 04 26  MM   MM   MM   1.3     9   4.4  96     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 03 56  MM   MM   MM   1.2     4   4.3  30     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 03 26  MM   MM   MM   1.3    10   4.6 113     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 02 56  MM   MM   MM   1.2    10   4.4 100     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 02 26  MM   MM   MM   1.3     4   4.5  38     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 01 56  MM   MM   MM   1.3     4   4.5  28     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 01 26  MM   MM   MM   1.3     5   4.5  37     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 00 56  MM   MM   MM   1.3     5   4.5  31     MM    MM   5.8    MM   MM   MM    MM
2024 02 07 00 26  MM   MM   MM   1.4     5   4.5  32     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 23 56  MM   MM   MM   1.4     5   4.6  34     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 22 56  MM   MM   MM   1.5     5   4.4  31     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 22 26  MM   MM   MM   1.4     5   4.4  34     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 21 56  MM   MM   MM   1.5     5   4.4  27     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 21 26  MM   MM   MM   1.5     5   4.4  37     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 20 56  MM   MM   MM   1.5     5   4.4  37     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 20 26  MM   MM   MM   1.5     5   4.4  41     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 19 56  MM   MM   MM   1.5     5   4.4  46     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 19 26  MM   MM   MM   1.5     5   4.3  37     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 18 56  MM   MM   MM   1.6     5   4.3  32     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 18 26  MM   MM   MM   1.5     4   4.3  24     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 17 56  MM   MM   MM   1.4     4   4.4  21     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 17 26  MM   MM   MM   1.4     4   4.3  16     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 16 56  MM   MM   MM   1.3     4   4.4  25     MM    MM   5.8    MM   MM   MM    MM
2024 02 06 16 26  MM   MM   MM   1.3     4   4.4   7     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 15 56  MM   MM   MM   1.3     4   4.3  17     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 15 26  MM   MM   MM   1.3     4   4.2  16     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 14 56  MM   MM   MM   1.3     4   4.3  32     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 14 26  MM   MM   MM   1.3     4   4.3  25     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 13 56  MM   MM   MM   1.3     4   4.3  30     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 13 26  MM   MM   MM   1.3     4   4.4  28     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 12 56  MM   MM   MM   1.3     5   4.5  37     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 12 26  MM   MM   MM   1.3     5   4.6  37     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 11 56  MM   MM   MM   1.5     5   4.6  56     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 11 26  MM   MM   MM   1.5     5   4.5  38     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 10 56  MM   MM   MM   1.5     5   4.5  38     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 10 26  MM   MM   MM   1.5     5   4.5  38     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 09 56  MM   MM   MM   1.6     5   4.7  37     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 09 26  MM   MM   MM   1.5     5   4.7  55     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 08 56  MM   MM   MM   1.5     5   4.7  27     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 08 26  MM   MM   MM   1.6     5   4.6  45     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 07 56  MM   MM   MM   1.5     5   4.6  48     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 07 26  MM   MM   MM   1.6     5   4.5  49     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 06 56  MM   MM   MM   1.5     5   4.5  48     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 06 26  MM   MM   MM   1.4     5   4.5  42     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 05 56  MM   MM   MM   1.3     4   4.3  37     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 05 26  MM   MM   MM   1.3     4   4.4  39     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 04 56  MM   MM   MM   1.1     4   4.4  34     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 04 26  MM   MM   MM   1.1    12   4.5 114     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 03 56  MM   MM   MM   1.2    13   4.6 120     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 03 26  MM   MM   MM   1.1    12   4.6 111     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 02 56  MM   MM   MM   1.1    12   4.9 106     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 02 26  MM   MM   MM   1.1    11   4.7 100     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 01 56  MM   MM   MM   1.1    13   5.1 111     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 01 26  MM   MM   MM   1.1    11   4.7 104     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 00 56  MM   MM   MM   1.1    12   4.9 114     MM    MM   5.9    MM   MM   MM    MM
2024 02 06 00 26  MM   MM   MM   1.1    13   4.8 115     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 23 56  MM   MM   MM   1.1    12   5.2 110     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 22 56  MM   MM   MM   1.1    12   5.1 111     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 22 26  MM   MM   MM   1.0    11   4.8 106     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 21 56  MM   MM   MM   1.1    13   5.0 111     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 21 26  MM   MM   MM   1.1    11   4.9 101     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 20 56  MM   MM   MM   1.1    12   4.8 108     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 20 26  MM   MM   MM   1.1     5   4.6 349     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 19 56  MM   MM   MM   1.2    10   4.8  99     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 19 26  MM   MM   MM   1.2     4   4.5 354     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 18 56  MM   MM   MM   1.2     5   4.4 343     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 18 26  MM   MM   MM   1.3     5   4.5 356     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 17 56  MM   MM   MM   1.3     5   4.5 353     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 17 26  MM   MM   MM   1.3     5   4.6   1     MM    MM   5.9    MM   MM   MM    MM
2024 02 05 16 56  MM   MM   MM   1.4     5   4.7 359     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 16 26  MM   MM   MM   1.4     5   4.6 359     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 15 56  MM   MM   MM   1.5     5   4.7 359     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 15 26  MM   MM   MM   1.5     5   4.6 359     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 14 56  MM   MM   MM   1.6     5   4.6 356     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 14 26  MM   MM   MM   1.5     5   4.5 353     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 13 56  MM   MM   MM   1.5     5   4.7   0     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 13 26  MM   MM   MM   1.5     5   4.6 350     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 12 56  MM   MM   MM   1.5     5   4.6   4     MM    MM   5.8    MM   MM   MM    MM
2024 02 05 12 26  MM   MM   MM   1.5     5   4.5 357     MM    MM   5.8    MM   MM   MM    MM
